USAF,Site Name,State,Latitude,Longitude,Avg hourly ETR in 2005 (Wh/m^2),Avg hourly METSTAT in 2005 (Wh/m^2),rand
726568,OWATONNA (AWOS),MN,44.117,-93.25,312.9444064,63.16563927,0.475425155
723676,TUCUMCARI FAA AP,NM,35.183,-103.6,349.3033105,58.52956621,0.477643071
726387,TRAVERSE CITY CHERRY CAPITAL,MI,44.733,-85.583,310.2281963,66.96586758,0.47924628
724555,MANHATTAN RGNL,KS,39.133,-96.667,333.963242,60.7533105,0.481381414
722137,BRUNSWICK MALCOLM MCKINNON AP,GA,31.15,-81.383,363.6079909,72.10308219,0.483386517
744915,WESTFIELD BARNES MUNI AP,MA,42.15,-72.717,321.4407534,65.78173516,0.488340635
722245,PANAMA CITY BAY CO,FL,30.2,-85.683,366.7638128,80.30639269,0.490228521
722700,EL PASO INTERNATIONAL AP [UT],TX,31.77,-106.5,361.5050228,78.4390411,0.490509553
723080,NORFOLK INTERNATIONAL AP,VA,36.9,-76.2,342.7885845,74.98972603,0.490733284
722599,DALLAS/REDBIRD ARPT,TX,32.683,-96.867,358.3431507,65.06187215,0.492740206
723140,CHARLOTTE DOUGLAS INTL ARPT,NC,35.217,-80.95,349.1775114,80.03310502,0.493556837
727924,KELSO WB AP,WA,46.133,-122.9,303.9773973,61.65696347,0.493848226
724088,DOVER AFB,DE,39.133,-75.467,333.9680365,77.02100457,0.494881187
723560,TULSA INTERNATIONAL AIRPORT,OK,36.2,-95.883,345.4784247,73.45079909,0.496359388
724475,OLATHE JOHNSON CO INDUSTRIAL,KS,38.833,-94.883,335.1756849,60.94155251,0.496760175
723650,ALBUQUERQUE INTL ARPT [ISIS],NM,35.04,-106.62,349.8321918,77.80696347,0.499287914
725033,NEW YORK CENTRAL PRK OBS BELV,NY,40.783,-73.967,327.2019406,67.89760274,0.500164687
724230,LOUISVILLE STANDIFORD FIELD,KY,38.183,-85.733,337.7692922,76.9,0.500323204
725235,JAMESTOWN (AWOS),NY,42.15,-79.267,321.4439498,74.60821918,0.505208548
725315,UNIV OF ILLINOIS WI [BONDVILLE - SURFRAD],IL,40.06,-88.37,330.188242,67.04965753,0.506258989
723575,LAWTON MUNICIPAL,OK,34.567,-98.417,351.5821918,59.83664384,0.506268289
726945,CORVALLIS MUNI,OR,44.483,-123.283,311.3319635,58.63538813,0.507811113
724926,MODESTO CITY-COUNTY AP,CA,37.633,-120.95,339.9406393,58.2619863,0.508242462
723069,JACKSONVILLE (AWOS),NC,34.833,-77.617,350.6033105,67.78915525,0.508663502
745090,MOUNTAIN VIEW MOFFETT FLD NAS,CA,37.4,-122.05,340.8555936,60.09121005,0.508770404
723927,OXNARD AIRPORT,CA,34.2,-119.2,352.9259132,61.206621,0.508865092
727573,DEVILS LAKE(AWOS),ND,48.117,-98.917,294.9409817,56.42910959,0.510212189
726886,BAKER MUNICIPAL AP,OR,44.833,-117.817,309.7914384,50.75844749,0.511856421
725484,LE MARS,IA,42.783,-96.2,318.7396119,61.5739726,0.512349432
726384,CADILLAC WEXFORD CO AP,MI,44.283,-85.417,312.2178082,61.26552511,0.512526054
722930,SAN DIEGO MIRAMAR NAS,CA,32.867,-117.133,357.6960046,71.35684932,0.512630051
727455,HIBBING CHISHOLM-HIBBING AP,MN,47.383,-92.85,298.3082192,57.26518265,0.513980376
725453,ATLANTIC,IA,41.4,-95.05,324.616895,63.73812785,0.51423804
724338,BELLEVILLE SCOTT AFB,IL,38.55,-89.85,336.3114155,76.77408676,0.514959491
722348,HATTIESBURG LAUREL,MS,31.467,-89.333,362.5355023,71.50627854,0.515873412
724339,MARION REGIONAL,IL,37.75,-89.017,339.4778539,67.85422374,0.516814921
725127,JOHNSTOWN CAMBRIA COUNTY AP,PA,40.317,-78.833,329.1342466,66.78401826,0.516978086
726410,MADISON DANE CO REGIONAL ARPT [ISIS],WI,43.13,-89.33,317.238242,65.50011416,0.520287067
722687,CARLSBAD CAVERN CITY AIR TERM,NM,32.333,-104.267,359.5578767,53.95079909,0.521704233
722789,SCOTTSDALE MUNI,AZ,33.617,-111.917,355.0300228,50.42191781,0.521832194
724050,WASHINGTON DC REAGAN AP,VA,38.867,-77.033,335.0378995,80.30890411,0.523813474
727796,CUT BANK MUNI AP,MT,48.6,-112.367,292.7173516,49.31392694,0.524784506
722060,JACKSONVILLE INTL ARPT,FL,30.5,-81.7,365.7740868,87.00707763,0.525476801
727453,PARK RAPIDS MUNICIPAL AP,MN,46.9,-95.067,300.509589,57.05936073,0.525645069
727120,CARIBOU MUNICIPAL ARPT,ME,46.867,-68.033,300.6589041,55.69817352,0.526230345
726357,KALAMAZOO BATTLE CR,MI,42.233,-85.55,321.0886986,72.09315068,0.527117402
727790,KALISPELL GLACIER PK INT'L AR,MT,48.317,-114.25,294.0172374,55.04349315,0.527403646
722436,HOUSTON ELLINGTON AFB [CLEAR LAKE - UT],TX,29.57,-95.09,368.8097032,92.15079909,0.531349622
725210,AKRON AKRON-CANTON REG AP,OH,40.917,-81.433,326.6437215,75.64680365,0.531690118
726880,PENDLETON E OR REGIONAL AP,OR,45.7,-118.833,305.9284247,50.33789954,0.532746953
725040,BRIDGEPORT SIKORSKY MEMORIAL,CT,41.183,-73.15,325.5307078,64.26643836,0.534006129
722136,BRUNSWICK GOLDEN IS,GA,31.25,-81.467,363.271347,71.82260274,0.534244886
725205,PITTSBURGH ALLEGHENY CO AP,PA,40.35,-79.917,328.9940639,69.15262557,0.534977945
725847,SOUTH LAKE TAHOE,CA,38.9,-120,334.9092466,45.92773973,0.537518792
724917,SALINAS MUNICIPAL AP,CA,36.667,-121.6,343.689726,58.25159817,0.537553238
724386,LAFAYETTE PURDUE UNIV AP,IN,40.417,-86.933,328.7194064,66.66723744,0.537867034
724768,GREELEY/WELD (AWOS),CO,40.433,-104.633,328.6533105,49.22591324,0.538328316
726603,SOUTH ST PAUL MUNI,MN,44.85,-93.15,309.7119863,60.47374429,0.538491271
722977,SANTA ANA JOHN WAYNE AP,CA,33.683,-117.867,354.7973744,79.28344749,0.538847773
722180,AUGUSTA BUSH FIELD,GA,33.367,-81.967,355.9256849,72.57614155,0.539664201
722594,FORT WORTH ALLIANCE,TX,32.983,-97.317,357.2857306,73.89246575,0.540288845
724096,MCGUIRE AFB,NJ,40.017,-74.6,330.3664384,75.83607306,0.540758607
723510,WICHITA FALLS MUNICIPAL ARPT,TX,33.983,-98.5,353.7142694,74.39360731,0.541719648
723086,NEWPORT NEWS,VA,37.133,-76.5,341.8934932,67.34908676,0.54268448
723600,CLAYTON MUNICIPAL AIRPARK,NM,36.45,-103.15,344.5239726,52.51335616,0.543686021
725945,ARCATA AIRPORT,CA,40.983,-124.1,326.3690639,57.02283105,0.543745018
722405,LAFAYETTE REGIONAL AP,LA,30.2,-91.983,366.766895,76.76426941,0.544127254
726456,WITTMAN RGNL,WI,43.983,-88.55,313.5308219,59.6543379,0.544190976
722956,JACK NORTHROP FLD H,CA,33.917,-118.333,353.9490868,68.55057078,0.546385199
723046,DARE CO RGNL,NC,35.917,-75.7,346.556621,63.61894977,0.54652205
726545,MITCHELL (AWOS),SD,43.767,-98.033,314.4773973,58.07454338,0.546646823
726558,CLOQUET (AWOS),MN,46.7,-92.5,301.4158676,58.43938356,0.549003461
722056,DAYTONA BEACH INTL AP,FL,29.183,-81.067,370.0505708,84.49863014,0.555530998
726130,MOUNT WASHINGTON,NH,44.267,-71.3,312.2824201,62.4760274,0.555696724
726510,SIOUX FALLS FOSS FIELD,SD,43.583,-96.75,315.272032,65.41563927,0.556311189
723405,LITTLE ROCK AFB,AR,34.917,-92.15,350.2949772,76.95776256,0.557030086
722725,DEMING MUNI,NM,32.25,-107.717,359.8538813,47.70251142,0.559990766
726450,GREEN BAY AUSTIN STRAUBEL INT,WI,44.483,-88.133,311.3305936,59.51643836,0.560856311
723545,STILLWATER RGNL,OK,36.15,-97.083,345.6694064,63.15034247,0.561547432
724040,PATUXENT RIVER NAS,MD,38.3,-76.417,337.3058219,75.54189498,0.561618975
725440,MOLINE QUAD CITY INTL AP,IL,41.467,-90.517,324.3327626,65.1739726,0.561790011
724210,CINCINNATI NORTHERN KY AP,KY,39.05,-84.667,334.301484,73.70228311,0.562485416
724765,MONTROSE CO. ARPT,CO,38.5,-107.9,336.5071918,52.40673516,0.562939548
724235,LOUISVILLE BOWMAN FIELD,KY,38.233,-85.667,337.571347,70.19292237,0.563875281
726813,CALDWELL (AWOS),ID,43.633,-116.633,315.0585616,46.19748858,0.56513056
726986,PORTLAND/HILLSBORO,OR,45.533,-122.95,306.6719178,60.21381279,0.566257392
725395,JACKSON REYNOLDS FIELD,MI,42.267,-84.467,320.947032,65.33139269,0.56727273
745966,CAPE MAY CO,NJ,39,-74.917,334.5026256,64.90684932,0.567720221
726555,BRAINERD/WIELAND,MN,46.4,-94.133,302.7783105,58.11369863,0.568367211
725330,FORT WAYNE INTL AP,IN,41,-85.2,326.2920091,74.52785388,0.568881665
725115,MIDDLETOWN HARRISBURG INTL AP,PA,40.2,-76.767,329.6128995,68.46221461,0.568926002
725480,WATERLOO MUNICIPAL AP,IA,42.55,-92.4,319.7356164,63.7076484,0.571296066
724236,JACKSON JULIAN CARROLL AP,KY,37.583,-83.317,340.1323059,69.17214612,0.572524549
725488,OELWEN,IA,42.683,-91.967,319.1665525,64.16541096,0.572719994
747187,PALM SPRINGS THERMAL AP,CA,33.633,-116.167,354.9739726,47.80719178,0.576024301
726073,WATERVILLE (AWOS),ME,44.533,-69.683,311.1065068,53.17534247,0.576034405
725073,PROVINCETOWN (AWOS),MA,42.067,-70.217,321.7986301,64.85216895,0.577667794
726546,WATERTOWN MUNICIPAL AP,SD,44.933,-97.15,309.3452055,56.38196347,0.578010668
727676,MINOT FAA AP,ND,48.267,-101.283,294.2474886,55.99589041,0.57810104
726404,MINOCQUA/WOODRUFF,WI,45.933,-89.733,304.8789954,58.02260274,0.578541919
722350,JACKSON INTERNATIONAL AP,MS,32.317,-90.083,359.6184932,76.30844749,0.579207144
726515,BROOKINGS (AWOS),SD,44.3,-96.817,312.1390411,58.70148402,0.579951676
723530,OKLAHOMA CITY WILL ROGERS WOR,OK,35.383,-97.6,348.5651826,72.52385845,0.580296428
722285,GADSEN MUNI (AWOS),AL,33.967,-86.083,353.7694064,72.65856164,0.581189913
722735,DOUGLAS BISBEE-DOUGLAS INTL A,AZ,31.467,-109.6,362.538242,44.82910959,0.581792827
724517,GREAT BEND (AWOS),KS,38.35,-98.867,337.1106164,59.28573059,0.582418055
723810,EDWARDS AFB,CA,34.9,-117.867,350.3634703,59.67100457,0.582884818
723860,LAS VEGAS MCCARRAN INTL AP,NV,36.083,-115.15,345.9228311,67.71757991,0.584568998
723230,HUNTSVILLE INTL/JONES FIELD,AL,34.65,-86.783,351.2807078,79.8859589,0.584938133
723416,STUTTGART (AWOS),AR,34.6,-91.567,351.4635845,68.28995434,0.5858698
724815,MERCED/MACREADY FLD,CA,37.283,-120.517,341.3090183,59.96678082,0.58871308
723417,PINE BLUFF FAA AP,AR,34.167,-91.933,353.0461187,67.37134703,0.590022779
